Time,Credit Default Rate,"CPI, US","Unemployment, US","GDP, US","Total-investment, US","Business Climate Index, Germany, seasonally adjusted, End of Period (ifo)","Households' income, Gross wages and salaries, Germany, in Billion Euro (Bundesbank)",World Economic Climate (ifo),"Real Disposable Personal Income, US, in Billions Dollars, Seasonally Adjusted Annual Rate (Bureau of Economic Analysis/FRED)","Personal Saving Rate, US, Percent, Monthly, Seasonally Adjusted Annual Rate (FRED)","Crude Oil WTI Spot Price FOB, US, Dollars per Barrel, (eia)","Loan Performance: Total Loans and Leases: Noncurrent Rate, US, Not Seasonally Adjusted","Delinquency Rate on All Loans, All Commercial Banks, US, Not Seasonally Adjusted",Moody's Seasoned Baa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity
Q3 2010,0.041782533,188.17,0.056,3580.75,760,88.91177156,224959,29.9,10608.323,5.6,38.03,0.84655386,1.74,2.15
Q4 2010,0.039398989,189.37,0.0543,3614.45,772.9,89.85058275,230534,29.1,10684.289,4.4,45.94,0.79767147,1.69,2.01
Q1 2011,0.040557727,191.4,0.0543,3651.4,784.18,90.78939394,257415,21.6,10819.323,6.6,43.15,0.74592378,1.61,1.67
Q2 2011,0.041409029,192.37,0.053,3691.95,795.73,90.1,218190,21.8,10688.258,3.1,54.19,0.71537587,1.51,1.81
Q3 2011,0.040612579,193.67,0.051,3709.93,807.53,89.3,224539,17.8,10792.048,2.6,56.35,0.74055622,1.55,1.77
Q4 2011,0.042543521,196.6,0.0497,3739.07,819.18,92.7,230452,15.7,10837.234,2.7,65.59,0.74487365,1.6,1.85
Q1 2012,0.038112555,198.43,0.0497,3760.3,822.6,94.9,257802,15.9,10928.027,3.1,59.41,0.70926254,1.52,1.73
Q2 2012,0.036560535,199.47,0.0473,3811.02,838.88,98.1,218920,26.8,11147.942,4.1,62.69,0.69771247,1.45,1.67
Q3 2012,0.038495089,201.27,0.0463,3820.38,836.43,99,228297,29.6,11190.384,3.7,70.95,0.73526586,1.57,1.7
Q4 2012,0.040928408,203.17,0.0463,3826.12,830.15,99,235557,22.1,11212.758,3.2,63.8,0.79583903,1.75,1.65
Q1 2013,0.045126782,202.33,0.0443,3858.4,826.35,101.7,263260,21.9,11355.288,3.5,61.96,0.84380637,1.75,1.62
Q2 2013,0.051384136,204.32,0.045,3869.75,826.5,100.5,227002,24.6,11439.487,3.9,60.44,0.91092355,1.79,1.64
Q3 2013,0.054514035,206.63,0.045,3894.45,832.55,99.9,237002,20.4,11491.322,3.5,67.49,1.08121509,2.12,1.9
Q4 2013,0.060259307,207.94,0.0467,3917.9,829.05,99.2,242270,30.2,11511.217,3.1,79.92,1.41747203,2.56,2.24
Q1 2014,0.066552861,210.49,0.048,3941.77,824.4,98.3,272445,10.4,11529.333,3.2,91.69,1.73375696,2.9,3.08
Q2 2014,0.071575585,212.77,0.05,3925.73,813.58,97.9,237027,-0.1,11548.758,3.4,105.45,2.08950219,3.19,3.11
Q3 2014,0.07878866,215.54,0.0533,3948.2,811.13,95.4,247229,-12.2,11772.662,5.1,133.88,2.32804266,3.69,3.34
Q4 2014,0.086964814,218.86,0.06,3927.4,795.63,90.9,252346,-21.6,11537.458,4.3,104.11,2.94277439,4.9,5.58
Q1 2015,0.097216689,213.85,0.0687,3841.65,752.88,80.8,282418,-39.2,11661.588,6.2,41.12,3.7745523,5.72,5.49
Q2 2015,0.102710282,212.38,0.0827,3796.88,705.2,80,239932,-52.7,11636.688,5.9,47.94,4.35278235,6.15,4.65
Q3 2015,0.095736554,213.51,0.093,3790.45,688.15,84,247136,-35.8,11699.098,6.2,69.64,4.95753223,6.88,3.15
Q4 2015,0.093821633,215.34,0.0963,3804.15,690.68,89.2,252596,-15.9,11557.331,5.6,69.41,5.43849649,7.49,2.86
Q1 2016,0.082655807,217.03,0.0993,3844.8,691.85,90.9,281788,-0.9,11579.739,5.6,74.47,5.46528739,7.5,2.57
Q2 2016,0.069329773,217.37,0.0983,3864.02,689.3,92,244377,8.5,11667.432,5.6,81.2,5.23013604,6.99,2.69
Q3 2016,0.068896909,217.3,0.0963,3901.4,711.4,96,255389,17.2,11860.898,6.5,75.34,5.10557594,6.85,2.99
Q4 2016,0.075636994,217.93,0.0947,3931.57,714.1,100.1,260574,14.5,11936.638,6.5,75.24,4.86738818,6.51,3.04
Q1 2017,0.076571367,219.7,0.095,3952,723,102.9,291995,8,11980.373,6.5,89.15,4.71654423,6.27,2.63
Q2 2017,0.06943585,222.04,0.0903,3942.48,718.78,102,256567,19.2,12094.841,6.6,102.86,4.39025156,5.82,2.65
Q3 2017,0.067675433,224.57,0.0907,3969.2,729.88,101.7,269390,17.2,12064.102,6.7,96.26,4.28219847,5.67,3.04
Q4 2017,0.051876981,226.03,0.09,3967.68,752.23,97.9,272646,3.7,12117.745,6.5,85.52,4.19676573,5.55,3.21
Q1 2018,0.036600853,227.05,0.0863,4012.18,766.8,97.8,304942,-14.7,12152.338,7.5,98.56,4.11855268,5.33,3.16
Q2 2018,0.037128855,228.33,0.0827,4045,782.5,99.3,267202,-6.6,12375.697,8.2,106.16,3.90176693,5.02,3.27
Q3 2018,0.036173859,228.81,0.082,4063.43,794.3,96.9,281311,6,12486.454,8.6,82.3,3.86732097,5.02,3.23
Q4 2018,0.037940704,229.84,0.0803,4070.55,792.73,94.3,283985,-7.6,12404.763,8.1,94.51,3.59788857,4.72,2.87
Q1 2019,0.033890966,231.37,0.078,4075,802.05,95.3,317459,-9.2,12750.854,11.6,87.86,3.41086283,4.45,2.86
Q2 2019,0.031282477,232.3,0.0773,4110.38,809.8,97.9,276114,5,12248.61,5.9,92.94,3.09655341,4.06,2.84
Q3 2019,0.033104759,232.05,0.0753,4116.1,814.45,96.5,289617,6.6,12339.791,6.5,95.77,2.83535041,3.76,2.7
Q4 2019,0.033722513,233.3,0.0723,4148.67,826.45,98.9,293065,0.3,12387.23,6.5,106.29,2.62589092,3.58,2.61
Q1 2020,0.028314742,234.16,0.0693,4178.2,834.05,100.1,327548,4.8,12424.649,6,97.63,2.46184202,3.33,2.35
Q2 2020,0.026954076,235.62,0.0667,4163.55,837.13,101.3,287819,12.3,12580.423,6.7,100.8,2.23914833,3.03,2.2
Q3 2020,0.023131867,236.87,0.062,4217.02,859.45,99.8,301534,9.1,12747.052,7.1,105.79,2.10694014,2.88,2.24
Q4 2020,0.022163873,237.48,0.0607,4266.15,873.53,97.6,304443,14.9,12890.062,7.2,93.21,1.9574463,2.75,2.46
Q1 2021,0.026233114,236.89,0.057,4285.3,883.28,98.2,340374,4.7,13069.547,7.7,59.29,1.82931066,2.51,2.53
Q2 2021,0.044645572,235.36,0.0553,4320.15,884.18,99.2,298078,6.2,13243.383,7.7,47.82,1.69285004,2.34,2.67
Q3 2021,0.049211954,236.96,0.0543,4345.23,894.78,100.2,314514,9.5,13280.053,7.4,59.82,1.61030191,2.27,3.02
Q4 2021,0.05640728,237.86,0.051,4359.27,901.78,99.9,317388,3,13356.98,7.4,45.48,1.56020997,2.24,3.23
Q1 2022,0.061605649,237.84,0.0503,4365.65,898.75,100.6,355476,-5.1,13439.826,7.4,37.19,1.57993449,2.19,3.38
Q2 2022,0.041584173,237.69,0.049,4391.38,906.95,99.3,311809,-7,13541.639,7.6,37.55,1.49570165,2.09,2.91
Q3 2022,0.046912117,239.59,0.0493,4404.65,909.4,100,325934,-3.5,13519.46,6.6,48.76,1.45133562,2.05,2.69
Q4 2022,0.048177511,240.61,0.049,4431.12,915.98,100.6,329676,-6.6,13584.778,6.8,45.18,1.41873474,2.07,2.5
Q1 2023,0.039875738,242.14,0.0477,4453.15,923.3,100.9,369969,-0.7,13656.93,6.5,51.97,1.34404588,1.95,2.22
Q2 2023,0.039546204,243.84,0.0457,4474.15,937.35,102.2,325138,3,13795.239,7.2,49.33,1.23195143,1.8,2.23
Q3 2023,0.036624184,244.12,0.0437,4499.2,945.98,102.7,339922,13.5,13931.857,7.5,45.18,1.20163701,1.82,2.09
Q4 2023,0.031123732,245.29,0.0433,4531.55,946.43,103.6,344371,13.2,14015.441,7.3,49.82,1.19760278,1.83,1.9
Q1 2024,0.029895155,247.24,0.0417,4574.17,965.48,104.6,385995,17.1,14084.133,6.6,57.88,1.15341224,1.74,1.71
Q2 2024,0.031728573,249.25,0.0403,4609.08,978.9,104.3,340643,26,14253.281,7.6,62.73,1.06359443,1.6,1.86
Q3 2024,0.034687242,250.68,0.0393,4647.5,992.58,101.7,356264,16.5,14372.97,7.6,67.87,1.01875885,1.59,1.89
Q4 2024,0.043994902,251.77,0.0377,4669.9,993.98,103.3,362198,2.9,14491.807,7.6,70.23,0.98782701,1.56,2.1
Q1 2007,0.049107353,252.69,0.0383,4680.33,995.68,101,403541,-2.2,14599.128,9,49.52,0.99090767,1.55,2.32
Q2 2007,0.049655396,253.29,0.0387,4708.3,1006.78,100.6,355838,-13.1,14729.571,8.2,58.15,0.93094442,1.45,2.26
Q3 2007,0.070901935,255.28,0.036,4745.62,1021.47,96.9,372134,-2.4,14679.284,7.2,54.66,0.91866495,1.46,2.23
Q4 2007,0.064612119,256.23,0.0363,4778.17,1028.32,94.2,378710,-10.1,14763.112,7.3,56.95,0.90712345,1.47,2.12
